,CountryID,TechID,Year,Description,TransTypeID,DemandShareP,AveCapacityP,AveLoadFactorP,AveCapacityF,AveLoadFactorF,CargoFactor,AveNumTrips,AveTripLength,ExpectLife,FailSteep
122,9,4040,2045,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
123,9,4040,2046,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
124,9,4040,2047,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
125,9,4040,2048,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
126,9,4040,2049,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
127,9,4040,2050,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
128,9,4040,2051,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
129,9,4040,2052,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
130,9,4040,2053,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
131,9,4040,2054,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
132,9,4040,2055,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
133,9,4040,2056,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
134,9,4040,2057,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
135,9,4040,2058,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
136,9,4040,2059,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
137,9,4040,2060,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
138,9,4040,2061,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
139,9,4040,2062,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
140,9,4040,2063,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
141,9,4040,2064,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
142,9,4040,2065,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
143,9,4040,2066,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
144,9,4040,2067,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
145,9,4040,2068,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
146,9,4040,2069,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
147,9,4040,2070,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
148,9,4040,2071,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
149,9,4040,2072,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
150,9,4040,2073,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
151,9,4040,2074,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
152,9,4040,2075,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
153,9,4040,2076,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
154,9,4040,2077,Air - Aeroplane - Short Distance - Aviation fuel (Jet A-1) - Standard 1 - Freight Transport,2,1.0,0,0.0,18,0.6,0,185.0,500,38,15
