,ScenarioID,CountryID,TechID,Year,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
201,1,9,110,2013,10,1,3,1,5,1,423013.1875
202,1,9,110,2013,11,1,3,1,5,1,393447.34375
203,1,9,110,2013,12,1,3,1,5,1,330197.40625
204,1,9,110,2013,13,1,3,1,5,1,236528.875
205,1,9,120,2012,4,1,3,1,6,1,456842.0625
206,1,9,120,2012,5,1,3,1,6,1,431499.9375
207,1,9,120,2012,6,1,3,1,6,1,408062.5
208,1,9,120,2012,7,1,3,1,6,1,440855.65625
209,1,9,120,2013,5,1,3,1,6,1,452715.03125
210,1,9,120,2013,6,1,3,1,6,1,425099.25
211,1,9,120,2013,7,1,3,1,6,1,398509.71875
212,1,9,120,2013,8,1,3,1,6,1,425123.90625
213,1,9,130,2012,17,1,3,2,1,1,46610.69921875
214,1,9,130,2012,18,1,3,2,1,1,18597.484375
215,1,9,130,2012,19,1,3,2,1,1,5903.75927734375
216,1,9,130,2012,20,1,3,2,1,1,1370.72302246094
217,1,9,130,2012,21,1,3,2,1,1,253.594192504883
218,1,9,130,2012,22,1,3,2,1,1,39.2915077209473
219,1,9,130,2012,23,1,3,2,1,1,3.44337058067322
220,1,9,130,2012,24,1,3,2,1,1,0.142181694507599
221,1,9,130,2012,25,1,3,2,1,1,0.00283946539275348
222,1,9,130,2012,26,1,3,2,1,1,2.63965430349344e-05
223,1,9,130,2012,27,1,3,2,1,1,1.02704490245742e-07
224,1,9,130,2012,28,1,3,2,1,1,1.34229405368558e-10
225,1,9,130,2012,29,1,3,2,1,1,5.52570955571902e-14
226,1,9,130,2012,30,1,3,2,1,1,4.70213962492096e-18
227,1,9,130,2012,31,1,3,2,1,1,8.56064407498897e-23
228,1,9,130,2012,32,1,3,2,1,1,2.61494991906748e-28
229,1,9,130,2012,33,1,3,2,1,1,9.38264724955409e-35
230,1,9,130,2013,18,1,3,2,1,1,20076.2421875
231,1,9,130,2013,19,1,3,2,1,1,6375.09521484375
232,1,9,130,2013,20,1,3,2,1,1,1532.98107910156
233,1,9,130,2013,21,1,3,2,1,1,254.511978149414
234,1,9,130,2013,22,1,3,2,1,1,31.4942035675049
235,1,9,130,2013,23,1,3,2,1,1,3.02171397209167
236,1,9,130,2013,24,1,3,2,1,1,0.150101885199547
237,1,9,130,2013,25,1,3,2,1,1,0.00317544071003795
238,1,9,130,2013,26,1,3,2,1,1,2.89617673843168e-05
239,1,9,130,2013,27,1,3,2,1,1,1.07941701799064e-07
240,1,9,130,2013,28,1,3,2,1,1,1.45352799241216e-10
241,1,9,130,2013,29,1,3,2,1,1,5.57168481003009e-14
242,1,9,130,2013,30,1,3,2,1,1,5.58920439151007e-18
243,1,9,130,2013,31,1,3,2,1,1,9.41705040635862e-23
244,1,9,130,2013,32,1,3,2,1,1,2.70434701300232e-28
245,1,9,130,2013,33,1,3,2,1,1,9.35178994887316e-35
246,1,9,140,2012,0,1,3,2,14,1,694126.4375
247,1,9,140,2012,1,1,3,2,14,1,687019.625
248,1,9,140,2012,2,1,3,2,14,1,656188.3125
249,1,9,140,2012,3,1,3,2,14,1,653863.6875
250,1,9,140,2013,1,1,3,2,14,1,693635.75
251,1,9,140,2013,2,1,3,2,14,1,685995.875
252,1,9,140,2013,3,1,3,2,14,1,654290.3125
253,1,9,140,2013,4,1,3,2,14,1,650428.5625
254,1,9,150,2012,17,1,3,2,3,1,21509.97265625
255,1,9,150,2012,18,1,3,2,3,1,8582.392578125
256,1,9,150,2012,19,1,3,2,3,1,2724.47534179688
257,1,9,150,2012,20,1,3,2,3,1,632.56298828125
258,1,9,150,2012,21,1,3,2,3,1,117.028999328613
259,1,9,150,2012,22,1,3,2,3,1,18.1322956085205
260,1,9,150,2012,23,1,3,2,3,1,1.58905148506165
261,1,9,150,2012,24,1,3,2,3,1,0.065614216029644
262,1,9,150,2012,25,1,3,2,3,1,0.00131036038510501
263,1,9,150,2012,26,1,3,2,3,1,1.21815091915778e-05
264,1,9,150,2012,27,1,3,2,3,1,4.7396216729112e-08
265,1,9,150,2012,28,1,3,2,3,1,6.19443732419178e-11
266,1,9,150,2012,29,1,3,2,3,1,2.55001183065368e-14
267,1,9,150,2012,30,1,3,2,3,1,2.16995013874072e-18
268,1,9,150,2012,31,1,3,2,3,1,3.95057912574519e-23
269,1,9,150,2012,32,1,3,2,3,1,1.20675038826037e-28
270,1,9,150,2012,33,1,3,2,3,1,4.32991593511244e-35
271,1,9,150,2013,18,1,3,2,3,1,9264.8134765625
272,1,9,150,2013,19,1,3,2,3,1,2941.98754882813
273,1,9,150,2013,20,1,3,2,3,1,707.442321777344
274,1,9,150,2013,21,1,3,2,3,1,117.452507019043
275,1,9,150,2013,22,1,3,2,3,1,14.5339889526367
276,1,9,150,2013,23,1,3,2,3,1,1.39446437358856
277,1,9,150,2013,24,1,3,2,3,1,0.0692692324519157
278,1,9,150,2013,25,1,3,2,3,1,0.001465406967327
279,1,9,150,2013,26,1,3,2,3,1,1.33653165903524e-05
280,1,9,150,2013,27,1,3,2,3,1,4.98130674486674e-08
281,1,9,150,2013,28,1,3,2,3,1,6.70776212352564e-11
282,1,9,150,2013,29,1,3,2,3,1,2.57122882013627e-14
283,1,9,150,2013,30,1,3,2,3,1,2.57931355208709e-18
284,1,9,150,2013,31,1,3,2,3,1,4.34579402163984e-23
285,1,9,150,2013,32,1,3,2,3,1,1.24800621508157e-28
286,1,9,150,2013,33,1,3,2,3,1,4.31567569348944e-35
287,1,9,160,2012,13,1,3,2,4,1,402662.53125
288,1,9,160,2012,14,1,3,2,4,1,277622.25
289,1,9,160,2012,15,1,3,2,4,1,189226.03125
290,1,9,160,2012,16,1,3,2,4,1,113261.8671875
291,1,9,160,2013,14,1,3,2,4,1,301503.0625
292,1,9,160,2013,15,1,3,2,4,1,188923.9375
293,1,9,160,2013,16,1,3,2,4,1,114140.78125
294,1,9,160,2013,17,1,3,2,4,1,58769.87109375
295,1,9,161,2012,0,1,3,2,14,1,519.747436523438
296,1,9,161,2012,1,1,3,2,14,1,147.613845825195
297,1,9,161,2012,2,1,3,2,14,1,0.573268234729767
298,1,9,161,2012,3,1,3,2,14,1,6.43313760519959e-05
299,1,9,161,2013,1,1,3,2,14,1,519.380004882813
300,1,9,161,2013,2,1,3,2,14,1,147.393890380859
301,1,9,161,2013,3,1,3,2,14,1,0.57161009311676
302,1,9,161,2013,4,1,3,2,14,1,6.39934005448595e-05
303,1,9,170,2012,8,1,3,2,5,1,803800.0625
304,1,9,170,2012,9,1,3,2,5,1,715158.9375
305,1,9,170,2012,10,1,3,2,5,1,703120.1875
306,1,9,170,2012,11,1,3,2,5,1,640037.75
307,1,9,170,2012,12,1,3,2,5,1,500343.1875
308,1,9,170,2013,9,1,3,2,5,1,761411.8125
309,1,9,170,2013,10,1,3,2,5,1,660975.875
310,1,9,170,2013,11,1,3,2,5,1,628564.9375
311,1,9,170,2013,12,1,3,2,5,1,547382.875
312,1,9,170,2013,13,1,3,2,5,1,403795.34375
313,1,9,181,2012,4,1,3,2,6,1,675466.8125
314,1,9,181,2012,5,1,3,2,6,1,633634.3125
315,1,9,181,2012,6,1,3,2,6,1,615678.8125
316,1,9,181,2012,7,1,3,2,6,1,674208.0625
317,1,9,181,2013,5,1,3,2,6,1,669364.75
318,1,9,181,2013,6,1,3,2,6,1,624235.25
319,1,9,181,2013,7,1,3,2,6,1,601265.75
320,1,9,181,2013,8,1,3,2,6,1,650149.25
321,1,9,190,2012,17,1,3,3,1,1,6567.93798828125
322,1,9,190,2012,18,1,3,3,1,1,2620.58081054688
323,1,9,190,2012,19,1,3,3,1,1,831.901794433594
