,ScenarioID,CountryID,Year,AvailableVehiclesID,JSType_VSMID,LoadFactor
385,1,9,2028,4,2,0.965806256981784
386,1,9,2028,4,3,0.965806256981784
387,1,9,2028,5,1,1.20833010081351
388,1,9,2028,5,2,1.20833010081351
389,1,9,2028,5,3,1.20833010081351
390,1,9,2028,6,1,0.990297343992831
391,1,9,2028,6,2,0.990297343992831
392,1,9,2028,6,3,0.990297343992831
393,1,9,2028,7,4,1.0
394,1,9,2028,7,10,1.0
395,1,9,2028,7,11,1.0
396,1,9,2028,7,12,1.0
397,1,9,2028,8,4,1.0
398,1,9,2028,8,10,1.0
399,1,9,2028,8,11,1.0
400,1,9,2028,8,12,1.0
401,1,9,2028,9,5,1.0
402,1,9,2028,9,6,1.0
403,1,9,2028,9,7,1.0
404,1,9,2028,10,9,1.0
405,1,9,2028,10,13,1.0
406,1,9,2028,11,9,1.0
407,1,9,2028,11,13,1.0
408,1,9,2029,4,1,0.966258576237438
409,1,9,2029,4,2,0.966258576237438
410,1,9,2029,4,3,0.966258576237438
411,1,9,2029,5,1,1.20833010081351
412,1,9,2029,5,2,1.20833010081351
413,1,9,2029,5,3,1.20833010081351
414,1,9,2029,6,1,0.990297343992831
415,1,9,2029,6,2,0.990297343992831
416,1,9,2029,6,3,0.990297343992831
417,1,9,2029,7,4,1.0
418,1,9,2029,7,10,1.0
419,1,9,2029,7,11,1.0
420,1,9,2029,7,12,1.0
421,1,9,2029,8,4,1.0
422,1,9,2029,8,10,1.0
423,1,9,2029,8,11,1.0
424,1,9,2029,8,12,1.0
425,1,9,2029,9,5,1.0
426,1,9,2029,9,6,1.0
427,1,9,2029,9,7,1.0
428,1,9,2029,10,9,1.0
429,1,9,2029,10,13,1.0
430,1,9,2029,11,9,1.0
431,1,9,2029,11,13,1.0
432,1,9,2030,4,1,0.966723402545063
433,1,9,2030,4,2,0.966723402545063
434,1,9,2030,4,3,0.966723402545063
435,1,9,2030,5,1,1.20833010081351
436,1,9,2030,5,2,1.20833010081351
437,1,9,2030,5,3,1.20833010081351
438,1,9,2030,6,1,0.990297343992831
439,1,9,2030,6,2,0.990297343992831
440,1,9,2030,6,3,0.990297343992831
441,1,9,2030,7,4,1.0
442,1,9,2030,7,10,1.0
443,1,9,2030,7,11,1.0
444,1,9,2030,7,12,1.0
445,1,9,2030,8,4,1.0
446,1,9,2030,8,10,1.0
447,1,9,2030,8,11,1.0
448,1,9,2030,8,12,1.0
449,1,9,2030,9,5,1.0
450,1,9,2030,9,6,1.0
451,1,9,2030,9,7,1.0
452,1,9,2030,10,9,1.0
453,1,9,2030,10,13,1.0
454,1,9,2030,11,9,1.0
455,1,9,2030,11,13,1.0
456,1,9,2031,4,1,0.967184557057613
457,1,9,2031,4,2,0.967184557057613
458,1,9,2031,4,3,0.967184557057613
459,1,9,2031,5,1,1.20833010081351
460,1,9,2031,5,2,1.20833010081351
461,1,9,2031,5,3,1.20833010081351
462,1,9,2031,6,1,0.990297343992831
463,1,9,2031,6,2,0.990297343992831
464,1,9,2031,6,3,0.990297343992831
465,1,9,2031,7,4,1.0
466,1,9,2031,7,10,1.0
467,1,9,2031,7,11,1.0
468,1,9,2031,7,12,1.0
469,1,9,2031,8,4,1.0
470,1,9,2031,8,10,1.0
471,1,9,2031,8,11,1.0
472,1,9,2031,8,12,1.0
473,1,9,2031,9,5,1.0
474,1,9,2031,9,6,1.0
475,1,9,2031,9,7,1.0
476,1,9,2031,10,9,1.0
477,1,9,2031,10,13,1.0
478,1,9,2031,11,9,1.0
479,1,9,2031,11,13,1.0
480,1,9,2032,4,1,0.967614845542825
481,1,9,2032,4,2,0.967614845542825
482,1,9,2032,4,3,0.967614845542825
483,1,9,2032,5,1,1.20833010081351
484,1,9,2032,5,2,1.20833010081351
485,1,9,2032,5,3,1.20833010081351
486,1,9,2032,6,1,0.990297343992831
487,1,9,2032,6,2,0.990297343992831
488,1,9,2032,6,3,0.990297343992831
489,1,9,2032,7,4,1.0
490,1,9,2032,7,10,1.0
491,1,9,2032,7,11,1.0
492,1,9,2032,7,12,1.0
493,1,9,2032,8,4,1.0
494,1,9,2032,8,10,1.0
495,1,9,2032,8,11,1.0
496,1,9,2032,8,12,1.0
497,1,9,2032,9,5,1.0
498,1,9,2032,9,6,1.0
499,1,9,2032,9,7,1.0
500,1,9,2032,10,9,1.0
501,1,9,2032,10,13,1.0
502,1,9,2032,11,9,1.0
503,1,9,2032,11,13,1.0
504,1,9,2033,4,1,0.968028037232224
505,1,9,2033,4,2,0.968028037232224
506,1,9,2033,4,3,0.968028037232224
507,1,9,2033,5,1,1.20833010081351
508,1,9,2033,5,2,1.20833010081351
509,1,9,2033,5,3,1.20833010081351
510,1,9,2033,6,1,0.990297343992831
511,1,9,2033,6,2,0.990297343992831
512,1,9,2033,6,3,0.990297343992831
513,1,9,2033,7,4,1.0
514,1,9,2033,7,10,1.0
515,1,9,2033,7,11,1.0
516,1,9,2033,7,12,1.0
517,1,9,2033,8,4,1.0
518,1,9,2033,8,10,1.0
519,1,9,2033,8,11,1.0
520,1,9,2033,8,12,1.0
521,1,9,2033,9,5,1.0
522,1,9,2033,9,6,1.0
523,1,9,2033,9,7,1.0
524,1,9,2033,10,9,1.0
525,1,9,2033,10,13,1.0
526,1,9,2033,11,9,1.0
527,1,9,2033,11,13,1.0
528,1,9,2034,4,1,0.968401527637388
529,1,9,2034,4,2,0.968401527637388
530,1,9,2034,4,3,0.968401527637388
531,1,9,2034,5,1,1.20833010081351
532,1,9,2034,5,2,1.20833010081351
533,1,9,2034,5,3,1.20833010081351
534,1,9,2034,6,1,0.990297343992831
535,1,9,2034,6,2,0.990297343992831
536,1,9,2034,6,3,0.990297343992831
537,1,9,2034,7,4,1.0
538,1,9,2034,7,10,1.0
539,1,9,2034,7,11,1.0
540,1,9,2034,7,12,1.0
541,1,9,2034,8,4,1.0
542,1,9,2034,8,10,1.0
543,1,9,2034,8,11,1.0
544,1,9,2034,8,12,1.0
545,1,9,2034,9,5,1.0
546,1,9,2034,9,6,1.0
547,1,9,2034,9,7,1.0
548,1,9,2034,10,9,1.0
549,1,9,2034,10,13,1.0
550,1,9,2034,11,9,1.0
551,1,9,2034,11,13,1.0
552,1,9,2035,4,1,0.968755052656838
553,1,9,2035,4,2,0.968755052656838
554,1,9,2035,4,3,0.968755052656838
555,1,9,2035,5,1,1.20833010081351
556,1,9,2035,5,2,1.20833010081351
557,1,9,2035,5,3,1.20833010081351
558,1,9,2035,6,1,0.990297343992831
559,1,9,2035,6,2,0.990297343992831
560,1,9,2035,6,3,0.990297343992831
561,1,9,2035,7,4,1.0
562,1,9,2035,7,10,1.0
563,1,9,2035,7,11,1.0
564,1,9,2035,7,12,1.0
565,1,9,2035,8,4,1.0
566,1,9,2035,8,10,1.0
567,1,9,2035,8,11,1.0
568,1,9,2035,8,12,1.0
569,1,9,2035,9,5,1.0
570,1,9,2035,9,6,1.0
571,1,9,2035,9,7,1.0
572,1,9,2035,10,9,1.0
573,1,9,2035,10,13,1.0
574,1,9,2035,11,9,1.0
575,1,9,2035,11,13,1.0
576,1,9,2036,4,1,0.969053386006584
