,GEO_CODE,One person household\ Aged 65 and over,One person household\ Aged 0 to 64,One family only\ All aged 65 and over,One family only\ Lone parent\ All children non-dependent,One family only\ Couple family\ No children,One family only\ Couple family\ With dependent children,One family only\ Couple family\ All children non-dependent,One family only\ Lone parent\ With dependent children,Other household types\ Other (including all full-time students and all aged 65 and over)
4795,S01004771,154,30,39,20,47,45,35,13,14
4796,S01004747,18,13,18,8,48,97,43,6,11
4797,S01004743,4,39,14,6,85,130,26,12,9
4798,S01004766,56,43,27,17,39,57,19,58,14
4799,S01004776,37,47,32,13,53,68,34,28,16
4800,S01004781,63,43,35,20,58,69,25,27,14
4801,S01004793,25,102,16,9,66,108,24,12,16
4802,S01004795,38,32,21,25,28,81,37,34,40
4803,S01004789,139,113,26,23,67,59,28,33,18
4804,S01004798,96,95,23,32,34,52,27,40,21
4805,S01004805,30,53,15,20,22,39,11,72,21
4806,S01004807,52,75,9,11,23,42,11,32,12
4807,S01004814,51,42,30,28,44,79,40,32,17
4808,S01004818,41,50,38,17,46,54,35,24,19
4809,S01004824,23,44,23,6,51,93,42,11,8
4810,S01004828,26,51,19,8,89,133,32,23,12
4811,S01004826,26,99,18,21,29,68,18,53,20
4812,S01004817,61,81,21,21,36,27,18,35,11
4813,S01004820,36,36,17,32,59,71,70,38,32
4814,S01004803,73,65,27,18,38,79,22,49,11
4815,S01004804,99,69,36,26,54,48,26,55,29
4816,S01004819,11,31,10,10,30,47,26,37,15
4817,S01004812,29,67,12,17,31,60,26,74,23
4818,S01004802,67,46,38,15,55,64,38,22,25
4819,S01004796,73,39,26,11,42,69,37,7,8
4820,S01004797,69,29,34,18,39,52,33,26,18
4821,S01004800,36,40,28,24,43,44,32,45,20
4822,S01004806,50,32,24,13,26,28,34,13,17
4823,S01004846,29,27,16,11,52,69,32,27,18
4824,S01004821,45,33,29,12,68,93,43,25,15
4825,S01004823,51,38,30,17,36,58,33,36,23
4826,S01004829,44,45,20,17,30,57,33,33,29
4827,S01004827,41,52,13,19,27,58,22,33,22
4828,S01004837,21,14,13,15,58,74,33,21,21
4829,S01004830,71,58,24,30,31,42,42,18,17
4830,S01004850,41,36,26,17,54,73,36,20,20
4831,S01004874,32,83,24,13,40,70,26,48,25
4832,S01004831,16,45,19,14,64,95,49,13,11
4833,S01004839,51,53,22,20,60,88,37,32,16
4834,S01004835,20,47,15,10,40,88,21,16,17
4835,S01004856,36,38,20,12,74,61,22,21,12
4836,S01004840,26,30,18,17,28,75,24,21,20
4837,S01004841,50,48,20,27,37,63,40,42,18
4838,S01004832,63,42,19,11,48,55,32,13,10
4839,S01004842,11,12,9,7,60,66,17,8,15
4840,S01004838,50,32,23,15,64,87,46,28,22
4841,S01004833,54,88,26,19,45,66,30,36,21
4842,S01004836,13,33,15,9,53,81,26,15,14
4843,S01004847,56,36,33,8,47,96,45,11,14
4844,S01004834,68,61,33,23,51,61,30,17,17
4845,S01004853,51,52,40,16,71,60,18,16,14
4846,S01004854,70,63,24,19,69,105,35,21,14
4847,S01004843,29,32,19,21,31,59,17,44,23
4848,S01004844,64,54,36,22,52,72,44,21,22
4849,S01004848,17,24,11,10,57,72,48,6,6
4850,S01004845,54,62,33,23,46,55,31,19,19
4851,S01004857,32,41,26,17,60,76,40,30,32
4852,S01004851,14,45,9,15,38,43,22,37,23
4853,S01004852,61,53,23,15,41,48,20,58,12
4854,S01004849,43,99,16,16,52,27,20,17,8
4855,S01004858,49,42,25,6,74,101,40,17,14
4856,S01004855,44,57,24,16,34,39,17,52,16
4857,S01004860,7,24,4,4,53,73,12,11,4
4858,S01004859,12,46,4,8,70,161,21,16,7
4859,S01004861,13,31,23,10,78,82,43,10,13
4860,S01004862,3,19,5,0,35,112,26,11,8
4861,S01004864,10,25,13,4,41,68,29,3,14
4862,S01004865,41,24,33,14,58,55,53,19,17
4863,S01004872,63,32,30,20,59,58,49,21,17
4864,S01004868,41,47,21,21,35,60,35,30,21
4865,S01004877,48,27,18,16,50,63,55,7,16
4866,S01004883,4,31,1,4,77,92,17,45,9
4867,S01004888,2,23,3,3,51,99,17,13,7
4868,S01004884,4,20,4,1,60,84,22,6,4
4869,S01004876,34,44,20,28,75,81,50,33,23
4870,S01004863,47,68,31,17,107,87,46,12,6
4871,S01004866,41,30,23,20,56,74,60,29,14
4872,S01004869,11,15,11,9,62,122,44,11,9
4873,S01004870,40,35,23,16,57,88,52,22,11
4874,S01004873,42,46,33,9,61,76,37,15,7
4875,S01004867,13,17,28,15,67,67,59,7,12
4876,S01004871,36,47,20,12,59,77,21,27,17
4877,S01004875,34,45,9,9,47,81,29,24,22
4878,S01004887,6,8,7,6,34,56,25,11,9
4879,S01004882,24,35,24,10,38,41,25,15,8
4880,S01004880,26,54,19,9,39,50,19,53,16
4881,S01004879,25,47,19,13,32,61,33,45,13
4882,S01004881,42,50,26,14,46,68,35,32,17
4883,S01004878,57,48,39,23,60,49,26,23,15
4884,S01004894,124,68,57,15,51,39,15,30,17
4885,S01004893,112,52,58,19,52,40,27,30,6
4886,S01004885,7,28,11,10,31,49,27,33,16
4887,S01004891,46,62,23,23,41,68,42,59,22
4888,S01004886,15,77,6,28,41,70,26,59,24
4889,S01004890,12,125,2,17,28,59,22,49,20
4890,S01004895,55,67,39,22,56,74,24,34,11
4891,S01004901,43,113,9,14,45,51,16,78,14
4892,S01004904,100,129,42,22,84,63,23,36,21
4893,S01004906,53,69,28,12,61,73,23,43,22
4894,S01004916,37,57,22,16,58,54,34,37,20
4895,S01004909,42,80,40,7,96,73,46,27,24
4896,S01004899,52,39,39,11,45,65,33,15,7
4897,S01004898,34,104,19,14,60,99,33,54,24
4898,S01004905,34,85,21,24,65,97,45,50,18
4899,S01004912,47,45,16,13,45,74,30,20,14
4900,S01004908,23,24,11,9,42,69,32,33,11
4901,S01004910,35,34,24,20,67,73,55,17,11
4902,S01004920,41,80,19,21,77,95,29,41,10
4903,S01004919,20,27,8,10,31,44,12,34,16
4904,S01004921,24,67,19,18,51,58,21,42,17
4905,S01004924,48,31,27,20,53,71,60,22,14
4906,S01004927,7,34,6,9,74,146,38,13,12
4907,S01004929,9,18,10,7,59,93,33,9,5
4908,S01004925,55,34,22,5,53,48,17,14,7
4909,S01004915,12,64,9,13,37,50,17,44,14
4910,S01004902,68,65,49,19,59,59,17,23,11
4911,S01004922,6,11,7,5,52,107,23,6,10
4912,S01004926,10,17,11,4,84,138,27,6,11
4913,S01004917,1,15,2,2,40,102,11,8,6
4914,S01004923,11,39,3,10,66,122,11,42,7
4915,S01004911,2,27,5,1,58,130,13,8,10
4916,S01004928,4,14,14,4,85,83,22,3,7
4917,S01004918,12,46,8,5,86,74,4,9,8
4918,S01004914,29,58,13,0,40,103,10,12,4
4919,S01004907,23,36,20,4,102,84,17,7,8
4920,S01004900,2,12,15,4,67,97,31,4,8
4921,S01004903,7,14,12,6,40,89,29,7,6
4922,S01004892,11,17,14,7,64,98,28,12,12
4923,S01004897,6,26,7,4,49,77,22,8,8
4924,S01004889,44,31,32,29,58,62,41,55,8
4925,S01004896,86,27,32,21,42,89,51,17,16
4926,S01004913,58,35,23,15,34,59,27,13,18
4927,S01004937,34,61,20,9,21,38,13,40,10
4928,S01004944,27,13,17,11,45,51,26,11,4
4929,S01004945,59,39,27,12,37,55,20,6,14
4930,S01004933,18,32,12,19,54,84,34,55,18
4931,S01004931,63,101,17,26,64,65,27,46,16
4932,S01004934,45,46,21,13,46,52,21,32,22
4933,S01004936,158,93,46,15,74,48,24,11,19
4934,S01004930,38,44,19,13,55,51,22,38,9
4935,S01004943,40,27,22,17,48,89,35,27,17
4936,S01004932,82,60,11,20,32,50,23,43,27
4937,S01004935,15,9,22,3,52,91,29,5,15
4938,S01004939,39,24,23,12,29,58,25,21,8
4939,S01004942,29,23,30,17,76,102,62,7,15
4940,S01004940,34,19,29,15,26,30,43,9,12
4941,S01004941,21,40,5,15,29,56,27,46,13
4942,S01004938,64,49,52,20,38,46,34,42,11
4943,S01004951,71,55,28,14,53,40,21,20,13
4944,S01004956,55,50,28,10,53,66,23,17,4
4945,S01004948,37,72,22,12,57,52,10,7,15
4946,S01004964,49,54,23,17,78,120,21,10,20
4947,S01004963,41,43,30,8,50,63,3,9,4
4948,S01004949,38,32,23,5,57,47,25,5,9
4949,S01004965,66,34,24,15,62,92,27,11,13
4950,S01004966,54,18,32,6,82,82,20,6,21
4951,S01004967,32,29,28,6,59,70,18,4,14
4952,S01004947,28,26,24,4,52,79,25,11,7
4953,S01004946,34,32,26,4,47,71,15,5,11
4954,S01004950,16,20,11,3,47,57,18,1,16
4955,S01004962,18,20,26,5,47,74,12,3,12
4956,S01004957,28,38,28,8,54,81,19,4,4
4957,S01004952,50,53,33,13,86,104,20,14,13
4958,S01004953,75,87,35,18,81,77,9,25,16
4959,S01004958,89,75,39,12,61,77,10,20,18
4960,S01004959,113,99,18,5,64,27,12,13,24
4961,S01004955,37,34,21,13,59,60,22,23,10
4962,S01004954,43,52,11,14,50,91,17,24,11
4963,S01004960,57,44,29,6,43,36,13,12,13
4964,S01004961,49,63,21,8,62,53,15,15,14
4965,S01004971,74,71,31,13,90,81,32,16,18
4966,S01004972,45,59,26,9,58,75,15,13,19
4967,S01004968,31,40,18,6,66,44,11,8,18
4968,S01004969,64,60,34,5,91,86,16,10,24
4969,S01004970,65,63,35,14,63,55,32,7,16
4970,S01004973,23,24,41,7,87,105,26,9,14
4971,S01004974,13,41,35,10,100,97,20,9,16
4972,S01004979,38,27,31,8,77,118,18,14,12
4973,S01004975,26,38,30,9,81,84,18,5,11
4974,S01004982,14,24,14,6,58,74,17,12,13
4975,S01004980,55,57,48,8,102,120,26,15,12
4976,S01004978,33,38,26,9,67,119,40,25,8
4977,S01004976,72,41,33,9,54,73,22,18,14
4978,S01004977,94,80,34,20,75,70,36,34,15
4979,S01004981,41,35,31,15,106,102,26,10,16
4980,S01004986,25,18,31,5,66,70,12,6,9
4981,S01004984,40,44,35,6,67,77,26,15,12
4982,S01004983,58,51,30,12,86,88,24,20,17
4983,S01004987,19,21,13,3,54,67,16,4,4
4984,S01004991,32,29,26,9,64,44,20,8,9
4985,S01004999,57,51,33,14,65,90,26,13,15
4986,S01004985,31,42,29,7,63,77,17,13,16
4987,S01004989,38,49,33,4,64,49,8,6,10
4988,S01005003,29,49,27,7,87,97,24,19,14
4989,S01004995,115,51,48,12,72,78,23,8,22
4990,S01004996,22,58,20,5,70,62,7,11,17
4991,S01004994,54,42,52,5,74,65,12,11,14
4992,S01004993,39,19,73,3,67,73,17,8,8
4993,S01004992,62,36,40,15,46,80,36,21,20
4994,S01005025,50,29,29,10,65,65,15,13,10
4995,S01005002,104,25,93,4,58,58,13,6,11
4996,S01005007,114,45,64,15,53,66,28,13,9
4997,S01005067,20,22,24,5,54,44,11,13,8
4998,S01005073,46,60,49,2,70,71,22,18,14
4999,S01005021,70,33,64,4,69,85,12,11,11
5000,S01005020,53,43,42,5,68,75,11,15,14
5001,S01005017,54,26,54,8,55,72,21,3,13
5002,S01005015,62,35,32,6,43,61,27,10,5
5003,S01005013,58,29,29,5,45,57,29,23,9
5004,S01005011,81,25,25,12,24,52,10,22,11
5005,S01005012,80,83,16,8,54,67,12,12,15
5006,S01005016,91,69,42,11,45,73,13,20,18
5007,S01005010,42,46,21,7,50,58,15,17,9
5008,S01005052,31,34,21,5,77,63,18,8,15
5009,S01005082,37,32,28,8,61,77,21,14,11
5010,S01005027,21,51,21,1,78,71,28,6,10
5011,S01005092,56,38,41,15,51,57,25,11,9
5012,S01004997,42,43,34,5,77,97,25,12,13
5013,S01005000,32,33,30,6,71,47,14,13,8
5014,S01005008,31,30,33,8,102,107,26,12,12
5015,S01004988,19,21,14,2,55,63,14,3,12
5016,S01004990,20,24,21,6,65,52,13,11,2
5017,S01004998,32,36,26,10,92,77,26,15,12
5018,S01005006,65,56,31,5,49,42,8,13,7
5019,S01005001,44,39,32,12,94,101,32,15,10
5020,S01005005,107,39,62,11,64,84,23,28,16
5021,S01005004,41,31,26,6,39,56,19,15,15
5022,S01005018,40,21,20,8,22,60,26,17,18
5023,S01005014,66,28,17,21,41,76,23,37,24
5024,S01005024,118,49,47,6,72,82,14,17,15
5025,S01005022,41,43,25,8,54,67,19,13,12
5026,S01005019,83,100,22,5,49,58,20,30,14
5027,S01005029,50,162,14,6,106,80,12,24,26
5028,S01005044,85,139,37,14,88,66,20,18,23
5029,S01005046,58,68,36,20,73,98,32,15,19
5030,S01005036,38,16,37,7,34,48,18,8,8
5031,S01005032,109,58,49,13,76,72,20,18,12
5032,S01005030,84,38,52,10,81,106,28,15,10
5033,S01005034,38,41,34,6,96,85,29,15,7
5034,S01005033,20,15,32,8,66,76,36,10,4
5035,S01005028,59,35,31,4,48,56,18,7,6
5036,S01005039,72,34,87,9,102,103,34,12,5
5037,S01005042,53,19,68,7,71,75,36,4,14
5038,S01005038,41,33,43,2,78,96,31,9,5
5039,S01005045,26,35,26,6,88,119,23,7,11
5040,S01005051,28,72,28,3,83,112,24,18,6
5041,S01005063,12,26,8,4,59,73,16,6,4
5042,S01005077,2,47,3,5,77,108,7,12,11
5043,S01005050,77,95,24,20,59,71,17,77,15
5044,S01005068,53,17,43,10,44,60,25,20,14
5045,S01005060,66,44,36,20,34,46,21,40,23
5046,S01005057,61,73,16,18,33,69,18,61,8
5047,S01005053,36,66,19,27,31,84,11,75,16
5048,S01005055,59,37,27,20,47,65,26,26,17
5049,S01005054,39,14,26,13,22,58,27,23,8
5050,S01005059,41,20,25,13,33,45,23,21,10
5051,S01005066,38,93,8,12,49,56,13,64,24
5052,S01005058,26,49,19,10,56,59,13,42,10
5053,S01005072,38,43,20,18,40,50,22,18,16
5054,S01005069,48,50,16,13,42,44,18,39,19
5055,S01005076,35,75,15,16,46,68,28,31,14
5056,S01005080,25,55,13,6,42,45,12,30,5
5057,S01005086,32,59,16,8,59,62,17,41,17
5058,S01005081,39,51,8,18,44,59,30,28,11
5059,S01005084,47,53,14,15,45,47,23,20,17
5060,S01005093,48,55,18,24,71,56,38,21,16
5061,S01005078,88,27,18,10,53,63,24,25,16
5062,S01005079,53,41,13,15,52,44,19,37,20
5063,S01005075,8,26,4,6,13,43,6,52,17
5064,S01005071,15,43,6,10,20,58,7,77,19
5065,S01005065,67,113,18,12,75,66,24,23,30
5066,S01005070,92,79,43,10,91,58,17,20,11
5067,S01005049,93,200,29,9,69,25,14,16,27
5068,S01005047,199,227,41,4,98,22,7,14,29
5069,S01005056,56,118,26,17,73,32,11,13,30
5070,S01005031,86,116,31,9,77,28,8,8,19
5071,S01005037,99,270,16,6,90,37,8,36,43
5072,S01005041,40,187,12,7,72,12,2,7,26
5073,S01005040,137,263,40,20,96,20,3,31,40
5074,S01005026,31,24,41,3,74,52,20,3,10
5075,S01005048,23,16,34,6,59,55,24,2,8
5076,S01005043,96,60,56,7,52,50,14,20,18
5077,S01005062,48,9,39,6,47,44,17,5,2
5078,S01005064,54,32,56,7,58,79,21,10,14
5079,S01005061,143,87,42,13,84,80,20,11,20
5080,S01005091,57,16,64,5,63,57,24,6,10
5081,S01005090,72,36,56,16,73,74,35,16,8
5082,S01005089,88,19,56,11,68,70,24,8,7
5083,S01005095,58,42,57,11,90,86,33,10,19
5084,S01005087,51,24,26,10,25,52,21,8,6
5085,S01005083,119,68,49,21,78,68,29,17,13
5086,S01005009,43,26,28,8,71,73,15,6,6
5087,S01005023,33,51,21,6,65,48,25,7,9
5088,S01005102,33,55,44,8,90,90,32,9,21
5089,S01005094,18,42,19,5,53,49,22,10,6
5090,S01005096,34,28,18,9,47,74,19,7,6
5091,S01005074,63,34,28,13,72,72,29,8,11
5092,S01005035,41,72,38,12,102,84,28,16,11
5093,S01005099,74,31,57,9,72,75,28,17,9
5094,S01005097,50,23,36,6,66,74,33,10,12
5095,S01005101,61,63,34,12,65,62,35,31,13
5096,S01005113,68,59,40,21,72,86,47,27,21
5097,S01005121,35,53,40,8,91,72,24,10,11
5098,S01005111,30,24,29,9,47,43,21,6,10
5099,S01005114,71,75,31,15,63,88,25,33,11
5100,S01005110,57,55,44,17,109,93,39,14,11
5101,S01005117,41,38,44,6,75,49,17,7,7
5102,S01005126,35,24,31,2,58,43,24,12,7
5103,S01005134,96,48,66,14,50,87,29,25,14
5104,S01005135,48,60,38,8,73,59,15,19,18
5105,S01005138,74,64,35,8,79,104,37,33,23
5106,S01005133,19,22,17,4,51,53,12,13,7
5107,S01005127,72,42,21,11,38,49,13,22,13
5108,S01005147,50,68,55,10,82,79,15,15,10
5109,S01005137,42,71,45,10,98,63,32,9,18
5110,S01005132,41,27,36,14,53,58,18,13,10
5111,S01005145,67,38,57,7,78,63,20,14,9
5112,S01005141,80,51,60,19,88,63,23,8,15
5113,S01005130,49,46,20,12,47,45,28,39,5
5114,S01005129,42,38,23,11,55,94,24,28,19
5115,S01005120,43,23,47,6,59,49,16,7,11
5116,S01005122,66,29,52,11,58,74,18,16,11
5117,S01005123,79,25,75,2,79,56,16,10,13
5118,S01005124,54,29,43,13,46,70,16,16,17
5119,S01005128,85,48,54,9,60,68,24,18,10
5120,S01005125,126,101,34,10,48,51,15,26,23
5121,S01005119,45,12,61,2,75,54,17,5,11
5122,S01005109,36,52,49,5,94,89,32,2,16
5123,S01005107,24,33,21,6,52,58,22,10,3
5124,S01005106,51,25,26,5,36,57,20,15,6
5125,S01005105,56,43,36,13,75,104,14,19,10
5126,S01005116,51,34,27,9,61,62,21,11,8
5127,S01005108,64,41,26,13,45,49,15,10,7
5128,S01005104,19,46,16,4,93,66,17,12,9
5129,S01005088,45,16,41,5,52,48,28,3,5
5130,S01005085,30,39,19,8,48,59,21,9,6
5131,S01005098,61,42,39,14,70,76,16,8,11
5132,S01005100,27,27,25,4,40,80,12,10,6
5133,S01005118,83,49,45,12,68,51,22,14,15
5134,S01005115,76,60,58,14,71,62,17,29,13
5135,S01005139,37,44,38,6,58,61,10,13,12
5136,S01005144,118,79,77,15,91,52,30,8,25
5137,S01005143,93,86,72,7,70,70,15,19,25
5138,S01005142,63,32,51,5,57,50,10,6,10
5139,S01005136,86,80,32,13,61,66,16,30,18
5140,S01005131,72,43,70,12,65,67,17,19,10
5141,S01005146,47,51,36,8,80,60,20,8,10
5142,S01005140,25,45,19,7,64,45,14,8,19
5143,S01005112,40,59,41,8,89,74,18,19,17
5144,S01005148,42,69,20,3,60,65,21,15,9
5145,S01005149,61,54,22,5,36,65,13,9,13
5146,S01005151,36,33,30,9,45,78,20,18,10
5147,S01005154,11,29,24,7,64,57,24,2,8
5148,S01005150,23,35,15,12,55,72,24,17,11
5149,S01005153,25,50,16,9,91,80,32,4,11
5150,S01005155,25,30,20,8,74,88,23,6,13
5151,S01005152,28,25,20,12,69,72,41,12,11
5152,S01005190,39,31,47,16,73,100,26,7,15
5153,S01005172,11,27,10,6,90,116,20,10,11
5154,S01005203,60,68,29,20,51,84,41,30,28
5155,S01005361,29,25,31,6,89,106,33,8,13
5156,S01005351,35,54,32,17,71,80,30,17,13
5157,S01005355,64,35,38,22,59,64,36,18,20
5158,S01005329,14,26,15,12,41,53,20,6,17
5159,S01005228,43,31,38,12,98,117,41,9,17
5160,S01005238,72,40,36,21,51,66,36,21,13
5161,S01005230,61,49,25,14,69,71,23,19,18
5162,S01005213,72,51,37,8,77,91,37,25,10
5163,S01005198,47,47,31,11,83,104,38,7,9
5164,S01005166,57,57,42,21,66,82,22,55,26
5165,S01005184,44,84,17,20,25,66,12,107,36
5166,S01005178,54,84,36,26,74,58,43,21,21
5167,S01005173,20,13,20,9,48,91,18,14,11
5168,S01005164,40,46,37,25,59,67,37,43,24
5169,S01005159,64,43,38,18,60,65,54,30,18
5170,S01005191,24,78,18,16,43,75,33,70,19
5171,S01005207,117,69,38,21,67,56,36,32,24
5172,S01005227,102,143,33,16,50,67,23,28,18
5173,S01005211,69,80,28,18,47,52,18,36,19
5174,S01005218,149,109,44,19,53,40,26,36,24
5175,S01005233,77,81,23,11,38,36,4,27,11
5176,S01005220,58,73,24,11,50,68,23,17,16
5177,S01005236,47,71,18,11,71,117,30,21,14
5178,S01005206,45,18,49,11,57,103,44,6,16
5179,S01005215,125,43,30,12,42,59,45,26,21
5180,S01005209,97,76,51,19,56,51,23,17,21
5181,S01005183,62,76,52,26,46,72,27,57,10
5182,S01005177,46,143,27,18,47,66,20,80,26
5183,S01005189,102,77,57,24,48,49,32,60,14
5184,S01005202,73,43,47,22,62,48,46,33,22
5185,S01005225,59,48,37,10,79,87,38,16,12
5186,S01005256,14,29,12,7,65,95,24,9,9
5187,S01005253,3,67,5,1,55,69,11,15,9
5188,S01005261,21,69,5,14,33,44,10,52,16
5189,S01005247,14,64,1,11,17,41,7,92,27
5190,S01005251,16,82,9,14,49,94,19,74,19
5191,S01005263,21,57,1,8,13,35,10,79,17
5192,S01005272,42,70,11,13,18,32,9,63,25
5193,S01005265,44,112,11,20,34,20,10,41,18
5194,S01005255,137,100,24,16,28,21,10,39,20
5195,S01005243,134,256,23,14,60,26,11,41,28
5196,S01005242,168,186,28,20,69,40,20,20,23
5197,S01005231,15,105,15,4,94,78,11,15,11
5198,S01005235,34,167,3,8,67,66,17,77,21
5199,S01005224,6,19,8,3,58,133,10,12,12
5200,S01005223,80,66,47,11,59,71,9,15,13
5201,S01005216,39,50,13,11,31,51,14,32,15
5202,S01005201,72,56,25,30,59,58,28,48,15
5203,S01005217,24,58,6,6,73,104,19,29,8
5204,S01005196,18,76,9,19,49,64,6,79,22
5205,S01005182,54,125,23,18,52,39,21,53,29
5206,S01005176,64,76,31,14,39,44,12,34,25
5207,S01005174,64,146,39,21,56,52,19,61,25
5208,S01005169,20,18,29,9,45,72,23,10,9
5209,S01005158,31,34,27,15,52,80,35,11,6
5210,S01005162,62,89,46,20,45,61,41,63,18
5211,S01005165,67,57,62,22,41,53,23,22,13
5212,S01005168,11,54,11,5,55,97,10,13,10
5213,S01005180,15,62,25,8,68,103,48,11,13
5214,S01005188,27,15,32,13,82,99,61,10,10
5215,S01005200,17,19,20,5,58,73,30,9,9
5216,S01005204,12,27,13,5,56,67,22,4,8
5217,S01005212,36,82,28,5,72,47,24,6,11
5218,S01005193,27,15,32,12,53,94,37,6,14
5219,S01005161,15,56,13,14,70,125,37,24,21
5220,S01005157,56,58,37,30,59,59,34,40,18
5221,S01005156,38,39,34,13,37,48,34,46,11
5222,S01005163,39,34,23,19,41,48,13,19,19
5223,S01005171,64,35,26,20,41,53,36,47,25
5224,S01005160,61,61,44,28,58,66,45,56,19
5225,S01005170,24,25,29,13,49,92,42,19,8
5226,S01005167,50,117,16,19,39,61,17,99,17
5227,S01005179,37,75,24,22,76,111,29,28,14
5228,S01005181,17,29,16,5,84,141,24,12,6
5229,S01005192,43,44,19,9,63,105,27,14,11
5230,S01005205,49,95,26,10,95,92,19,14,7
5231,S01005221,29,35,25,4,54,69,28,5,9
5232,S01005210,254,119,93,22,53,32,12,19,16
5233,S01005214,61,173,18,15,37,43,14,60,23
5234,S01005197,106,138,57,22,71,23,9,35,11
5235,S01005208,75,143,16,8,31,33,6,44,13
5236,S01005186,144,46,60,17,62,38,19,11,15
5237,S01005187,141,54,75,24,64,70,36,14,13
5238,S01005175,43,43,34,5,49,73,24,8,14
5239,S01005185,45,24,33,14,38,36,19,17,16
5240,S01005194,40,47,38,12,50,33,21,19,20
5241,S01005195,12,15,19,12,85,111,65,15,13
5242,S01005222,34,80,20,17,34,44,20,68,21
5243,S01005219,63,107,36,24,54,57,45,38,24
5244,S01005199,35,36,24,19,41,62,48,37,24
5245,S01005226,23,39,16,13,27,49,21,16,10
5246,S01005234,30,147,13,21,93,90,26,27,19
5247,S01005240,86,262,24,22,43,42,9,77,22
5248,S01005249,42,240,11,10,84,34,10,26,44
5249,S01005229,83,163,24,13,56,49,17,34,33
5250,S01005232,203,186,48,21,72,19,9,12,19
5251,S01005239,89,195,40,10,79,39,19,25,34
5252,S01005245,32,168,18,10,60,30,9,45,74
5253,S01005254,39,156,8,6,79,43,13,26,21
5254,S01005262,116,110,49,8,88,58,28,13,18
5255,S01005246,101,243,10,21,59,45,15,58,17
5256,S01005250,38,219,4,8,45,49,2,63,25
5257,S01005248,127,127,27,13,48,19,8,37,13
5258,S01005257,103,109,48,20,67,63,30,16,26
5259,S01005269,123,51,49,13,47,41,24,11,19
5260,S01005271,35,16,25,6,43,63,26,9,7
5261,S01005258,53,28,47,21,70,116,48,15,6
5262,S01005241,60,22,58,15,63,90,48,6,20
5263,S01005237,75,21,68,8,44,105,49,7,9
5264,S01005270,82,25,78,20,76,95,42,17,9
5265,S01005244,48,16,61,10,68,113,44,8,13
5266,S01005274,130,69,45,18,43,28,29,28,20
5267,S01005287,36,82,20,9,62,76,23,28,19
5268,S01005280,83,85,22,32,47,43,15,43,19
5269,S01005282,50,73,18,26,57,45,17,71,12
5270,S01005288,83,55,26,22,49,51,26,44,27
5271,S01005293,82,78,33,20,51,55,26,22,26
5272,S01005292,46,101,17,11,41,38,18,50,21
5273,S01005268,117,239,28,14,94,39,15,34,24
5274,S01005275,55,142,10,14,48,23,11,18,15
5275,S01005284,90,175,25,13,44,31,17,81,21
5276,S01005289,59,113,36,14,83,48,20,40,27
5277,S01005312,39,48,16,8,63,55,29,9,14
5278,S01005299,25,16,27,6,54,58,34,3,4
5279,S01005304,36,16,22,10,75,72,41,8,9
5280,S01005308,20,51,10,17,21,34,9,51,13
5281,S01005315,21,151,2,12,33,40,8,65,20
5282,S01005322,32,123,6,9,85,109,15,23,16
5283,S01005326,61,102,26,34,38,50,27,85,20
5284,S01005327,28,64,11,16,31,66,12,41,11
5285,S01005324,67,142,26,17,69,38,22,39,13
5286,S01005316,67,27,54,19,61,76,47,11,13
5287,S01005309,78,65,51,22,57,61,39,28,29
5288,S01005310,143,60,78,30,65,56,31,34,19
5289,S01005306,13,29,3,5,62,175,23,19,10
5290,S01005302,79,60,31,27,71,79,46,26,22
5291,S01005305,53,54,27,18,74,61,29,32,16
5292,S01005297,54,17,45,7,55,61,35,5,8
5293,S01005311,24,94,17,12,69,120,28,18,9
5294,S01005313,22,70,7,13,75,96,47,10,16
5295,S01005319,11,20,8,5,49,82,47,7,7
5296,S01005317,7,15,10,2,49,57,49,4,8
5297,S01005321,78,25,28,19,29,52,29,15,12
5298,S01005318,89,33,35,15,33,29,20,9,8
5299,S01005323,77,49,43,15,34,52,27,9,18
5300,S01005325,49,92,13,11,63,81,13,33,16
5301,S01005328,55,242,8,10,70,29,10,23,14
5302,S01005330,81,40,48,14,41,32,35,22,20
5303,S01005331,66,98,19,15,32,51,26,37,12
5304,S01005332,41,20,34,9,51,52,13,3,6
5305,S01005334,37,47,26,6,53,75,27,10,6
5306,S01005337,13,18,13,10,59,134,33,16,14
5307,S01005335,5,11,19,5,39,73,23,0,10
5308,S01005338,1,8,2,6,33,97,17,6,6
5309,S01005345,23,18,14,5,39,116,21,14,8
5310,S01005343,19,23,17,10,60,147,32,12,13
5311,S01005340,11,30,4,4,25,98,11,12,8
5312,S01005344,53,33,27,17,31,68,28,29,17
5313,S01005348,22,60,14,12,67,95,32,20,9
5314,S01005342,37,37,22,13,46,67,45,26,9
5315,S01005341,42,23,27,14,37,62,32,30,11
5316,S01005339,39,43,27,8,54,77,36,17,11
5317,S01005336,20,27,18,7,53,63,21,17,9
5318,S01005333,16,24,24,5,87,98,39,9,8
5319,S01005346,4,14,9,6,54,139,24,6,6
5320,S01005347,10,39,11,5,69,101,26,8,4
5321,S01005349,22,33,14,12,49,118,47,10,8
5322,S01005352,62,40,54,21,51,75,34,34,13
5323,S01005353,77,61,46,29,64,77,50,19,18
5324,S01005357,106,50,43,20,46,61,17,12,12
5325,S01005358,67,40,42,20,63,67,31,30,17
5326,S01005360,13,15,17,6,62,111,63,9,6
