,GEO_CODE,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km and over,Work or study mainly at or from home,Other (including no fixed place of work; working on an offshore installation and working outside the UK)
180,S01000181,211,138,53,5,4,16,30
181,S01000182,188,209,112,11,12,25,41
182,S01000183,438,115,54,10,20,44,46
183,S01000184,234,154,47,8,15,21,36
184,S01000185,192,110,55,5,13,20,43
185,S01000186,169,179,37,10,13,31,52
186,S01000187,208,177,39,2,11,22,36
187,S01000188,492,113,34,2,11,57,61
188,S01000189,167,132,46,7,9,20,25
189,S01000190,163,209,96,8,14,25,47
190,S01000191,414,205,59,7,14,37,34
191,S01000192,276,105,46,8,12,36,36
192,S01000193,183,199,82,4,10,21,40
193,S01000194,257,146,37,3,2,29,34
194,S01000195,180,136,59,11,5,14,36
195,S01000196,289,172,62,10,19,23,30
196,S01000197,139,134,96,5,4,15,27
197,S01000198,146,171,60,9,13,16,38
198,S01000199,204,125,39,4,5,18,20
199,S01000200,179,189,42,6,13,26,49
200,S01000201,112,154,49,3,6,18,37
201,S01000202,199,227,74,15,15,21,40
202,S01000203,160,105,24,2,12,32,22
203,S01000204,118,166,79,4,10,18,46
204,S01000205,422,163,45,7,13,51,74
205,S01000206,145,204,87,9,13,22,42
206,S01000207,151,170,64,5,11,27,40
207,S01000208,199,165,56,8,5,23,35
208,S01000209,248,190,56,7,23,43,35
209,S01000210,144,126,41,9,10,11,27
210,S01000211,161,121,30,18,9,23,30
211,S01000212,190,194,71,9,12,16,35
212,S01000213,123,155,45,6,2,15,32
213,S01000214,95,89,77,8,4,6,20
214,S01000215,171,63,174,70,12,53,39
215,S01000216,123,186,64,4,3,11,49
216,S01000217,186,159,61,10,7,19,19
217,S01000218,144,125,107,8,6,21,24
218,S01000219,181,159,56,4,15,25,21
219,S01000220,838,139,58,10,16,64,61
220,S01000221,67,234,89,7,11,30,50
221,S01000222,180,112,109,6,9,16,33
222,S01000223,87,170,71,4,2,9,38
223,S01000224,171,113,104,10,7,22,37
224,S01000225,149,150,55,7,6,15,38
225,S01000226,134,149,98,5,18,13,41
226,S01000227,134,213,70,11,14,14,42
227,S01000228,117,184,120,14,16,24,37
228,S01000229,164,124,120,6,11,11,34
229,S01000230,148,204,58,12,12,12,27
230,S01000231,178,283,92,21,12,11,51
231,S01000232,181,125,47,7,10,11,27
232,S01000233,111,125,44,3,8,7,32
233,S01000234,137,229,90,16,22,23,57
234,S01000235,167,264,104,16,35,20,52
235,S01000236,134,163,87,8,16,16,21
236,S01000237,202,131,183,19,15,31,39
237,S01000238,113,180,73,11,9,17,30
238,S01000239,184,166,86,12,17,19,45
239,S01000240,187,190,83,11,19,12,55
240,S01000241,210,220,113,14,20,23,34
241,S01000242,150,158,86,8,16,60,41
242,S01000243,193,225,114,13,15,22,41
243,S01000244,249,164,180,28,14,23,48
244,S01000245,246,230,116,26,16,19,62
245,S01000246,167,183,134,14,7,19,48
246,S01000247,165,235,140,18,13,24,43
247,S01000248,196,200,165,23,20,25,55
248,S01000249,139,120,181,13,21,16,57
249,S01000250,217,132,191,32,9,29,51
250,S01000251,160,88,105,6,16,24,32
251,S01000252,200,179,239,29,18,14,52
252,S01000253,238,146,217,15,14,13,28
253,S01000254,191,103,257,19,17,34,44
254,S01000255,153,156,165,16,9,13,37
255,S01000256,152,172,156,18,12,36,51
256,S01000257,217,82,172,28,13,31,43
257,S01000258,145,134,173,31,10,22,41
258,S01000259,171,56,198,18,14,7,41
259,S01000260,193,163,270,40,20,15,48
260,S01000261,286,77,245,54,18,32,51
261,S01000262,258,42,202,43,11,28,56
262,S01000263,124,110,264,29,22,40,52
263,S01000264,293,102,225,48,15,25,59
264,S01000265,228,65,135,37,6,15,32
265,S01000266,249,107,161,69,22,49,47
266,S01000267,192,81,126,31,6,21,28
267,S01000268,90,17,155,29,138,36,46
268,S01000269,64,38,139,27,109,45,49
269,S01000270,114,70,154,52,188,59,63
270,S01000271,129,20,41,80,229,38,58
271,S01000272,232,39,48,42,182,67,68
272,S01000273,45,69,49,48,96,31,39
273,S01000274,121,5,4,106,110,13,39
274,S01000275,281,5,43,64,159,37,50
275,S01000276,144,2,5,115,208,33,49
276,S01000277,116,2,4,113,160,19,48
277,S01000278,99,6,3,82,96,7,28
278,S01000279,105,72,19,28,119,44,26
279,S01000280,96,24,27,78,132,44,44
280,S01000281,98,38,78,37,101,48,30
281,S01000282,58,41,69,53,173,34,49
282,S01000283,90,52,117,68,201,65,38
283,S01000284,77,77,116,35,187,90,48
284,S01000285,52,34,78,65,201,48,38
285,S01000286,222,3,5,74,204,26,58
286,S01000287,199,0,3,63,180,21,37
287,S01000288,344,4,2,76,213,34,51
288,S01000289,215,3,4,72,172,21,57
289,S01000290,256,3,6,69,139,16,30
290,S01000291,257,3,7,79,173,28,47
291,S01000292,298,1,7,93,184,44,52
292,S01000293,144,1,1,66,137,26,39
293,S01000294,234,10,1,68,190,18,37
294,S01000295,179,0,0,68,147,24,38
295,S01000296,117,2,1,55,101,26,29
296,S01000297,297,2,2,95,164,25,45
297,S01000298,151,2,3,78,92,22,31
298,S01000299,99,113,22,43,224,68,51
299,S01000300,69,67,86,132,102,75,50
300,S01000301,156,17,4,34,93,46,34
301,S01000302,39,35,86,74,108,52,29
302,S01000303,86,29,30,53,96,72,38
303,S01000304,99,109,60,325,36,30,45
304,S01000305,128,103,72,313,41,22,64
305,S01000306,63,35,81,195,68,79,39
306,S01000307,154,124,84,323,25,42,59
307,S01000308,73,82,93,304,37,78,61
308,S01000309,110,57,40,52,137,92,46
309,S01000310,243,8,138,254,25,23,64
310,S01000311,242,10,11,42,254,53,49
311,S01000312,177,0,3,55,69,40,39
312,S01000313,195,22,9,32,174,27,51
313,S01000314,130,10,85,151,15,14,42
314,S01000315,181,16,10,25,140,25,28
315,S01000316,236,3,1,73,84,37,33
316,S01000317,138,18,5,19,101,19,26
317,S01000318,192,6,5,15,145,30,33
318,S01000319,214,10,104,133,17,27,56
319,S01000320,165,5,169,143,16,20,47
320,S01000321,119,20,122,107,21,29,43
321,S01000322,353,22,10,42,288,43,36
322,S01000323,284,16,16,40,155,31,54
323,S01000324,246,3,200,171,26,20,47
324,S01000325,178,23,15,25,112,19,31
325,S01000326,229,8,153,97,21,18,36
326,S01000327,253,4,212,142,17,27,58
327,S01000328,197,6,147,70,15,22,36
328,S01000329,174,7,174,44,10,11,35
329,S01000330,103,86,38,48,148,44,34
330,S01000331,173,6,10,51,99,31,37
331,S01000332,154,0,8,45,137,34,48
332,S01000333,45,102,193,163,24,80,39
333,S01000334,252,10,43,62,126,32,53
334,S01000335,65,12,87,201,24,15,31
335,S01000336,59,142,232,42,34,86,52
336,S01000337,25,92,66,43,149,61,37
337,S01000338,53,19,48,50,110,29,26
338,S01000339,209,10,76,82,235,42,62
339,S01000340,84,59,102,280,67,86,59
340,S01000341,86,60,70,48,114,84,59
341,S01000342,103,7,59,9,55,33,32
342,S01000343,92,39,33,73,125,60,48
343,S01000344,79,51,123,60,199,57,60
344,S01000345,184,9,82,129,17,25,32
345,S01000346,169,6,156,135,14,20,31
346,S01000347,46,60,35,123,17,31,26
347,S01000348,203,15,162,171,15,26,43
348,S01000349,135,6,98,132,19,12,40
349,S01000350,261,16,133,268,21,30,54
350,S01000351,285,13,146,254,23,32,54
351,S01000352,200,6,187,141,16,17,42
352,S01000353,172,2,91,188,15,20,33
353,S01000354,71,58,80,111,14,51,35
354,S01000355,215,8,98,172,14,40,24
355,S01000356,46,22,20,111,160,70,34
356,S01000357,202,5,144,150,13,29,34
357,S01000358,248,13,232,223,29,30,46
358,S01000359,197,3,150,213,31,46,33
359,S01000360,47,34,18,25,95,56,31
360,S01000361,52,46,56,193,28,37,36
361,S01000362,125,60,153,278,21,35,38
362,S01000363,72,70,66,156,262,64,47
363,S01000364,58,45,114,62,239,104,66
364,S01000365,80,24,132,182,17,30,38
365,S01000366,83,58,124,191,36,35,39
366,S01000367,73,33,149,178,37,36,39
367,S01000368,220,19,5,38,194,36,53
368,S01000369,50,121,329,102,18,46,56
369,S01000370,74,39,258,183,33,21,53
370,S01000371,211,31,10,28,192,38,45
