GEO_CODE,TotalCars
S01001288,304.0
S01001289,233.0
S01001290,220.0
S01001291,187.0
S01001292,225.0
S01001293,272.0
S01001294,208.0
S01001295,315.0
S01001296,217.0
S01001297,278.0
S01001298,333.0
S01001299,315.0
S01001300,576.0
S01001301,185.0
S01001302,365.0
S01001303,312.0
S01001304,444.0
S01001305,345.0
S01001306,240.0
S01001307,379.0
S01001308,286.0
S01001309,195.0
S01001310,232.0
S01001311,236.0
S01001312,211.0
S01001313,262.0
S01001314,352.0
S01001315,498.0
S01001316,273.0
S01001317,361.0
S01001318,243.0
S01001319,241.0
S01001320,288.0
S01001321,337.0
S01001322,450.0
S01001323,240.0
S01001324,169.0
S01001325,199.0
S01001326,334.0
S01001327,242.0
S01001328,242.0
S01001329,197.0
S01001330,492.0
S01001331,290.0
S01001332,309.0
S01001333,245.0
S01001334,242.0
S01001335,290.0
S01001336,324.0
S01001337,468.0
S01001338,214.0
S01001339,301.0
S01001340,206.0
S01001341,270.0
S01001342,290.0
S01001343,350.0
S01001344,407.0
S01001345,265.0
S01001346,351.0
S01001347,439.0
S01001348,228.0
S01001349,486.0
S01001350,228.0
S01001351,283.0
S01001352,406.0
S01001353,361.0
S01001354,307.0
S01001355,373.0
S01001356,375.0
S01001357,205.0
S01001358,345.0
S01001359,384.0
S01001360,377.0
S01001361,234.0
S01001362,325.0
S01001363,242.0
S01001364,411.0
S01001365,202.0
S01001366,517.0
S01001367,313.0
S01001368,631.0
S01001369,394.0
S01001370,354.0
S01001371,275.0
S01001372,390.0
S01001373,298.0
S01001374,291.0
S01001375,378.0
S01001376,274.0
S01001377,223.0
S01001378,273.0
S01001379,343.0
S01001380,300.0
S01001381,357.0
S01001382,114.0
S01001383,239.0
S01001384,301.0
S01001385,291.0
S01001386,287.0
S01001387,334.0
S01001388,197.0
S01001389,177.0
S01001390,360.0
S01001391,272.0
S01001392,110.0
S01001393,284.0
S01001394,155.0
S01001395,345.0
S01001396,265.0
S01001397,186.0
S01001398,514.0
S01001399,216.0
S01001400,202.0
S01001401,189.0
S01001402,490.0
S01001403,523.0
S01001404,391.0
S01001405,496.0
S01001406,342.0
S01001407,429.0
S01001408,329.0
S01001409,364.0
S01001410,551.0
S01001411,391.0
S01001412,298.0
S01001413,420.0
S01001414,238.0
S01001415,317.0
S01001416,252.0
S01001417,498.0
S01001418,534.0
S01001419,317.0
S01001420,421.0
S01001421,413.0
S01001422,374.0
S01001423,376.0
S01001424,336.0
S01001425,310.0
S01001426,299.0
S01001427,386.0
S01001428,312.0
S01001429,180.0
S01001430,503.0
S01001431,475.0
S01001432,348.0
S01001433,400.0
S01001434,446.0
S01001435,435.0
S01001436,534.0
